Date,US/UK,JP/US
2012-01-02,1.5537,76.98
2012-01-03,1.5655,76.67
2012-01-04,1.5638,76.68
2012-01-05,1.548,77.18
2012-01-06,1.5431,77.06
2012-01-09,1.5436,76.88
2012-01-10,1.5489,76.84
2012-01-11,1.5325,76.9
2012-01-12,1.5325,76.76
2012-01-13,1.5301,76.9
2012-01-16,1.5301,76.9
2012-01-17,1.5356,76.8
2012-01-18,1.541,76.81
2012-01-19,1.5484,77.23
2012-01-20,1.554,76.97
2012-01-23,1.5582,76.92
2012-01-24,1.5595,77.78
2012-01-25,1.557,78.13
2012-01-26,1.5706,77.47
2012-01-27,1.5716,76.68
2012-01-30,1.569,76.28
2012-01-31,1.5754,76.34
2012-02-01,1.5849,76.11
2012-02-02,1.5813,76.13
2012-02-03,1.5779,76.54
2012-02-06,1.5832,76.54
2012-02-07,1.5891,76.88
2012-02-08,1.582,76.9
2012-02-09,1.5838,77.42
2012-02-10,1.5748,77.57
2012-02-13,1.578,77.52
2012-02-14,1.5691,78.39
2012-02-15,1.571,78.22
2012-02-16,1.5795,78.77
2012-02-17,1.5813,79.33
2012-02-20,1.5813,79.33
2012-02-21,1.5796,79.73
2012-02-22,1.5677,80.3
2012-02-23,1.57,80.21
2012-02-24,1.5869,80.88
2012-02-27,1.5845,80.42
2012-02-28,1.5887,80.44
2012-02-29,1.5951,81.1
2012-03-01,1.5953,81.16
2012-03-02,1.5852,81.56
2012-03-05,1.587,81.43
2012-03-06,1.572,80.86
2012-03-07,1.5746,81.06
2012-03-08,1.5822,81.5
2012-03-09,1.5677,82.59
2012-03-12,1.5615,82.21
2012-03-13,1.5736,82.66
2012-03-14,1.5686,83.78
2012-03-15,1.5669,83.28
2012-03-16,1.5845,83.34
2012-03-19,1.5894,83.31
2012-03-20,1.5857,83.62
2012-03-21,1.5848,83.62
2012-03-22,1.5807,82.5
2012-03-23,1.5864,82.35
2012-03-26,1.5939,82.84
2012-03-27,1.5972,83.15
2012-03-28,1.5855,82.74
2012-03-29,1.5911,82.28
2012-03-30,1.5985,82.41
2012-04-02,1.6022,82.16
2012-04-03,1.5966,82.18
2012-04-04,1.5879,82.62
2012-04-05,1.5822,82.33
2012-04-06,1.5877,81.56
2012-04-09,1.5879,81.36
2012-04-10,1.5836,80.94
2012-04-11,1.5892,80.88
2012-04-12,1.5939,80.87
2012-04-13,1.5851,80.99
2012-04-16,1.5865,80.46
2012-04-17,1.5931,80.72
2012-04-18,1.602,81.29
2012-04-19,1.6058,81.57
2012-04-20,1.6123,81.6
2012-04-23,1.6102,81.16
2012-04-24,1.6135,81.21
2012-04-25,1.6146,81.33
2012-04-26,1.6188,80.78
2012-04-27,1.6239,80.48
2012-04-30,1.6225,79.81
2012-05-01,1.6221,80.17
2012-05-02,1.6193,80.19
2012-05-03,1.6185,80.36
2012-05-04,1.6148,79.84
2012-05-07,1.6192,79.88
2012-05-08,1.6159,79.79
2012-05-09,1.613,79.64
2012-05-10,1.6161,79.91
2012-05-11,1.608,79.86
2012-05-14,1.6116,79.83
2012-05-15,1.6025,80.09
2012-05-16,1.5933,80.32
2012-05-17,1.5823,79.26
2012-05-18,1.5788,79.14
2012-05-21,1.579,79.31
2012-05-22,1.5775,79.98
2012-05-23,1.5691,79.33
2012-05-24,1.5698,79.47
2012-05-25,1.5648,79.64
2012-05-28,1.5648,79.64
2012-05-29,1.563,79.44
2012-05-30,1.5532,78.93
2012-05-31,1.5405,78.29
2012-06-01,1.5383,78.21
2012-06-04,1.5382,78.3
2012-06-05,1.5355,78.57
2012-06-06,1.5475,79.11
2012-06-07,1.5557,79.67
2012-06-08,1.5433,79.47
2012-06-11,1.5515,79.5
2012-06-12,1.5562,79.44
2012-06-13,1.5557,79.35
2012-06-14,1.5533,79.29
2012-06-15,1.5654,78.65
2012-06-18,1.5665,78.95
2012-06-19,1.5732,78.92
2012-06-20,1.575,79.54
2012-06-21,1.5633,80.18
2012-06-22,1.5582,80.52
2012-06-25,1.5555,79.5
2012-06-26,1.562,79.46
2012-06-27,1.5549,79.83
2012-06-28,1.5503,79.35
2012-06-29,1.5686,79.81
2012-07-02,1.5679,79.42
2012-07-03,1.5702,79.77
2012-07-04,1.5702,79.77
2012-07-05,1.5531,79.95
2012-07-06,1.548,79.61
2012-07-09,1.5507,79.66
2012-07-10,1.5506,79.44
2012-07-11,1.5532,79.7
2012-07-12,1.5425,79.29
2012-07-13,1.555,79.2
2012-07-16,1.5635,78.8
2012-07-17,1.5613,79.04
2012-07-18,1.5636,78.79
2012-07-19,1.5719,78.6
2012-07-20,1.563,78.49
2012-07-23,1.5512,78.38
2012-07-24,1.5521,78.19
2012-07-25,1.5479,78.21
2012-07-26,1.5683,78.24
2012-07-27,1.5728,78.55
2012-07-30,1.5694,78.2
2012-07-31,1.5686,78.1
2012-08-01,1.5596,78.19
2012-08-02,1.55,78.22
2012-08-03,1.565,78.6
2012-08-06,1.5625,78.17
2012-08-07,1.5658,78.71
2012-08-08,1.5659,78.44
2012-08-09,1.5623,78.64
2012-08-10,1.5679,78.24
2012-08-13,1.569,78.34
2012-08-14,1.5692,78.82
2012-08-15,1.5686,78.89
2012-08-16,1.5738,79.25
2012-08-17,1.5697,79.5
2012-08-20,1.5707,79.41
2012-08-21,1.5788,79.43
2012-08-22,1.58,79.19
2012-08-23,1.5882,78.46
2012-08-24,1.5815,78.65
2012-08-27,1.58,78.67
2012-08-28,1.5828,78.5
2012-08-29,1.5839,78.72
2012-08-30,1.5794,78.55
2012-08-31,1.5864,78.3
2012-09-03,1.5864,78.3
2012-09-04,1.5889,78.35
2012-09-05,1.5907,78.34
2012-09-06,1.5922,78.96
2012-09-07,1.6016,78.14
2012-09-10,1.6009,78.24
2012-09-11,1.6071,77.78
2012-09-12,1.6111,77.86
2012-09-13,1.6125,77.41
2012-09-14,1.6244,78.22
2012-09-17,1.6263,78.68
2012-09-18,1.6251,78.59
2012-09-19,1.6219,78.4
2012-09-20,1.6198,78.3
2012-09-21,1.6251,78.17
2012-09-24,1.6199,77.9
2012-09-25,1.6232,77.91
2012-09-26,1.6145,77.78
2012-09-27,1.6217,77.62
2012-09-28,1.6132,77.92
2012-10-01,1.6142,78.0
2012-10-02,1.6186,78.01
2012-10-03,1.6077,78.57
2012-10-04,1.6165,78.44
2012-10-05,1.6196,78.66
2012-10-08,1.6196,78.66
2012-10-09,1.5987,78.23
2012-10-10,1.6007,78.26
2012-10-11,1.6028,78.44
2012-10-12,1.6075,78.31
2012-10-15,1.6069,78.76
2012-10-16,1.6101,78.92
2012-10-17,1.6165,78.74
2012-10-18,1.6141,79.24
2012-10-19,1.6003,79.26
2012-10-22,1.6028,79.84
2012-10-23,1.5932,79.79
2012-10-24,1.6015,79.82
2012-10-25,1.6119,80.04
2012-10-26,1.6098,79.63
2012-10-29,1.6025,79.81
2012-10-30,1.6083,79.58
2012-10-31,1.6111,79.94
2012-11-01,1.6142,80.14
2012-11-02,1.6036,80.53
2012-11-05,1.5977,80.17
2012-11-06,1.5985,80.28
2012-11-07,1.5975,79.85
2012-11-08,1.5979,79.74
2012-11-09,1.5912,79.46
2012-11-12,1.5912,79.46
2012-11-13,1.5885,79.42
2012-11-14,1.5849,80.2
2012-11-15,1.5865,81.16
2012-11-16,1.5866,81.28
2012-11-19,1.5908,81.18
2012-11-20,1.5927,81.72
2012-11-21,1.5936,82.36
2012-11-22,1.5936,82.36
2012-11-23,1.6032,82.34
2012-11-26,1.6014,82.11
2012-11-27,1.6028,82.23
2012-11-28,1.5997,81.84
